kód obce;název obce;voliči v seznamu;vydané obálky;platné hlasy;ANO 2011;Občanská demokratická strana;Svob.a př.dem.-T.Okamura (SPD);Česká pirátská strana;Česká str.sociálně demokrat.;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;TOP 09;Křesť.demokr.unie-Čs.str.lid.;Strana svobodných občanů;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;REALISTÉ;SPORTOVCI;Strana Práv Občanů;SPR-Republ.str.Čsl. M.Sládka;Řád národa - Vlastenecká unie;Dělnic.str.sociální spravedl.;Občanská demokratická aliance;Blok proti islam.-Obran.domova;Referendum o Evropské unii;Radostné Česko;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Unie H.A.V.E.L.;Česká strana národně sociální
535427;Bakov nad Jizerou;3922;2551;2539;864;285;295;252;204;179;153;113;42;36;27;32;18;4;4;8;3;6;1;2;2;1;3;1;2;2
535443;Bělá pod Bezdězem;3805;2219;2204;802;215;253;218;214;107;153;61;38;33;28;33;9;8;1;3;2;7;4;4;4;1;0;3;3;0
535451;Benátky nad Jizerou;5596;3269;3254;1041;533;306;323;225;176;198;151;77;58;58;24;26;10;9;6;12;6;3;4;1;3;2;1;0;1
535478;Bezno;687;402;401;121;27;37;21;31;14;43;15;69;6;3;4;2;1;2;0;1;0;0;0;4;0;0;0;0;0
565750;Bílá Hlína;85;61;61;13;2;13;7;5;4;8;5;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535486;Bítouchov;291;195;195;79;17;17;17;7;10;31;7;4;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0
535508;Boreč;216;97;97;43;10;8;3;4;9;8;2;2;2;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0
535516;Boseň;382;251;250;85;23;36;24;12;36;11;6;3;5;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
570788;Bradlec;891;705;700;211;135;44;104;17;33;38;67;9;8;8;5;8;5;0;1;4;1;0;0;0;1;0;0;0;1
571946;Branžež;204;138;137;39;15;12;16;6;27;5;8;1;0;2;3;0;0;0;1;0;0;0;0;0;0;0;0;2;0
535559;Brodce;836;515;513;201;46;65;38;26;44;43;18;3;9;6;1;1;0;2;1;1;2;0;2;2;0;1;0;1;0
535567;Březina;341;239;236;83;30;25;26;11;29;12;7;4;5;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
535583;Březno;721;472;471;146;60;37;57;36;40;23;26;6;14;4;4;3;2;1;3;2;2;2;1;2;0;0;0;0;0
599514;Březovice;240;143;143;42;19;14;10;18;16;10;2;6;0;1;1;0;0;0;2;0;0;0;1;0;0;0;1;0;0
535605;Bukovno;559;346;338;130;27;28;27;21;36;28;13;3;0;7;4;6;4;3;0;0;0;0;0;0;0;0;0;0;1
570991;Ctiměřice;99;74;74;31;12;4;10;3;3;3;3;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0
535621;Čachovice;696;367;366;106;36;37;25;37;22;49;15;8;6;3;10;3;0;1;2;2;0;0;0;1;2;1;0;0;0
535630;Čistá;608;368;366;117;45;46;32;27;25;30;19;4;5;2;5;1;2;2;0;0;2;0;1;0;1;0;0;0;0
570818;Dalovice;169;120;120;39;18;7;9;9;10;4;8;5;1;1;5;1;1;0;0;1;0;0;0;0;0;1;0;0;0
535656;Dlouhá Lhota;328;239;235;78;37;26;19;12;17;19;11;4;4;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
535672;Dobrovice;2630;1714;1706;673;189;141;172;156;77;111;44;37;13;35;23;4;4;2;8;6;2;3;1;0;3;0;1;1;0
571989;Dobšín;212;148;146;50;14;16;16;9;14;9;3;4;0;1;5;2;0;1;2;0;0;0;0;0;0;0;0;0;0
535702;Dolní Bousov;2052;1289;1283;494;121;106;146;91;97;85;32;30;14;11;27;7;3;3;6;1;0;1;0;0;2;4;0;1;1
